tag_name,tag_type,plc_address,data_min,data_max,disp_min,disp_max,decimals
Tunnel_Fan_Stop_Button,TagFlag,VersaMax.M00002,,,,,
Tunnel_Fan_Start_Button,TagFlag,VersaMax.M00001,,,,,
Cooling_Fan_Stop_Button,TagFlag,VersaMax.M00005,,,,,
Cooling_Fan_Start_Button,TagFlag,VersaMax.M00004,,,,,
Bearing_Heater_On_Button,TagFlag,VersaMax.Q00053,,,,,
Bearing_Temp_Low_Light,TagFlag,VersaMax.M00111,,,,,
Fan_Running_Light,TagFlag,VersaMax.M00103,,,,,
Console_Control_Light,TagFlag,VersaMax.M00104,,,,,
Oil_Level_Low_Light,TagFlag,VersaMax.M00109,,,,,
Inverter_Fault_Light,TagFlag,VersaMax.M00110,,,,,
RPM_Set,TagNumeric,FanDrive.R00102,,,,,1
Actual_RPM,TagNumeric,FanDrive.R00200,,,,,1
Light,TagFlag,VersaMax.Q00076,,,,,
Stop_Flip,TagFlag,VersaMax.I00019,,,,,
Tunnel_Fan_Light_Start,TagFlag,VersaMax.M00101,,,,,
Tunnel_Fan_Light_Stop,TagFlag,VersaMax.M00102,,,,,
Cooling_Fan_Light_Start,TagFlag,VersaMax.M00105,,,,,
Cooling_Fan_Light_Stop,TagFlag,VersaMax.M00107,,,,,
Analog_Feedback.V1,TagNumeric,VersaMax.AI0001,1019,5000,,250,3
Analog_Feedback.V2,TagNumeric,VersaMax.AI0002,1019,5000,,,3
Analog_Feedback.V3,TagNumeric,VersaMax.AI0003,1019,5000,,250,3
Analog_Feedback.W1,TagNumeric,VersaMax.AI0004,1000,5000,,150,2
Analog_Feedback.W2,TagNumeric,VersaMax.AI0005,1000,5000,,150,2
Analog_Feedback.W3,TagNumeric,VersaMax.AI0006,1000,5000,,150,2
Analog_Feedback.B1,TagNumeric,VersaMax.AI0007,955,5035,,150,2
Analog_Feedback.B2,TagNumeric,VersaMax.AI0008,969,4979,,150,2
Analog_Feedback.B3,TagNumeric,VersaMax.AI0009,930,4994,,150,2
Mach_Speed.Diff_Voltage,TagNumeric,VersaMax.AI0012,,,,,
Mach_Speed.Atoms_Voltage,TagNumeric,VersaMax.AI0013,,,,,
Mach_Speed.Tunnel_Temperature,TagNumeric,VersaMax.AI0015,130,10107,,100,
Mach_Speed.Atmospheric_Pressure,TagNumeric,VersaMax.AI0013,,32000,,1000,2
Mach_Speed.Diff_Pressure,TagNumeric,VersaMax.AI0012,,32000,,200,2
Mach_Speed.Total_Pressure_To_Pascal,TagNumeric,133.322368,,,,,2
Mach_Speed.Differential_Pressure_To_Pascal,TagNumeric,133.322368,,,,,2
Mach_Speed.Mach_Step1,TagNumeric,,,,,,
Mach_Speed.Mach_Step2,TagNumeric,,,,,,
Mach_Speed.Mach_Step3,TagNumeric,,,,,,
Mach_Speed.Mach_Step4,TagNumeric,,,,,,4
Mach_Speed.Velocity_Reading,TagNumeric,,,,,,2
Reynolds_Number.Dyn_Visc_Calculate,TagNumeric,,,,,,
Reynolds_Number.Temp,TagNumeric,Mach_Speed.Tunnel_Temperature,,,,,
Reynolds_Number.Dyn_Visc_1,TagNumeric,0.00000146,,,,,
Reynolds_Number.Dyn_Visc_2,TagNumeric,273.15,,,,,
Reynolds_Number.Dyn_Visc_3,TagNumeric,Mach_Speed.Tunnel_Te,,,,,
Reynolds_Number.Velocity_1,TagNumeric,Mach_Speed.Differential_Pressure_To,,,,,
Reynolds_Number.Velocity_2,TagNumeric,0.5,,,,,
Reynolds_Number.Reynolds_Number,TagNumeric,0.000254,,,,,2
Reynolds_Number.Density,TagNumeric,Mach_Speed.Total_Pressure_To_Pascal,,,,,2
Reynolds_Number.Chord_Length,TagNumeric,,,,,,2
Reynolds_Number.Rey_Number,TagNumeric,,,,,,8
startFanActive,TagNumeric,,,,,,
PageIndicatorValue,TagNumeric,Mach_Speed.Mach_Step4,,,,,2
